Time (mins),Flux (LMH)
0,3981.643329
0,3837.555702
0,4027.710807
0,3710.478798010412
0,3862.9657720167197
0,3797.7312832170237
15,3792.138967
15,3567.838483
15,3689.385927
30,2280.913069244366
30,2336.168282196252
30,2356.1761232482136
30,2914.7541897964416
30,2945.5960684567326
30,2795.512575418066
60,2736.157395
60,2812.430707
60,2688.546211
90,2657.429455
90,2612.39031
90,2383.881491
120,2946.216067
120,2828.70484
120,2946.826373
