Model Parameters,Specimen 1,Specimen 2,Specimen 3
a,3858.8759404281845,3621.8383410739407,3644.303683812449
b,0.0032186447948393876,0.003419257217238304,0.003500036494503936
c,6.4399021490182536e-09,3.462664004438593e-11,5.538742368770434e-07
R2,0.9801670152539267,0.9923413350752237,0.9678159253650545
