Specimen,Permeance (LMH/bar),Intercept (LMH/bar),r^2
1,555.1025260256986,7.877119457283698,0.9998338153909558
2,514.8561642146153,-2.5702861811972753,0.9995992305665198
3,404.0411230100906,16.99013143375123,0.9998769877956704
Mean,491.33327108346816,7.432321569945884,0.0
Standard Deviation,63.874260576049004,7.9916985340302595,0.0
