Measurement Start time (24hr time),Pressure (bar),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH),Average Flux (LMH),Standard Deviation (LMH),Standard Error (%)
14:49:00,2.0856649,1166.9630143673435,1077.6262190772793,862.2502496136866,1035.6131610194363,127.89654682980594,12.349837916689587
14:52:00,1.72713738,969.307445309642,882.5801308586231,713.3184424733912,855.0686728805522,106.30225031589212,12.43201320401337
14:56:00,1.378952,767.5173826247703,701.4692974153287,570.6547943611622,679.8804914670872,81.80577433231655,12.032375595274267
15:00:00,1.034214,579.9776307216406,527.9596499608458,435.9203687653887,514.619216482625,59.562846667046685,11.574159059615624
15:03:00,0.70326552,402.0553100656724,365.07200699620046,302.50220810660545,356.54317505615944,41.0873926982815,11.523819714627768
